"Report_Name","Book Requests (Excluding OA_Gold)"
"Report_ID","TR_B1"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Requests; Unique_Title_Requests"
"Report_Filters","Data_Type=Book; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Catalysis 30","Royal Society of Chemistry","","RSC eBooks","10.1039/9781788013048","","978-1-78801-304-8","978-1-78801-151-8","1465-1920","","Total_Item_Requests","1","0","0","0","0","1"
"Catalysis 30","Royal Society of Chemistry","","RSC eBooks","10.1039/9781788013048","","978-1-78801-304-8","978-1-78801-151-8","1465-1920","","Unique_Title_Requests","1","0","0","0","0","1"
